time,run_id,scenario,cycle,segment,phase,layer,item,axis,q,omega,accel,torque,carrying,source_file
168.4,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor3,-0.348391383,-0.000871588109,0.00523156141,866.835419,1,long_live_01.jsonl
168.4,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor4,-6.76707098e-05,-0.000643818333,0.00315165182,0,1,long_live_01.jsonl
168.6,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor1,-4.78883411e-06,-5.15471745e-06,0.000477599501,3.17242614,1,long_live_01.jsonl
168.6,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor2,0.313916045,2.86284981e-05,-0.188932359,1181.48493,1,long_live_01.jsonl
168.6,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor3,-0.34707777,0.00840391707,0.0463775259,856.166566,1,long_live_01.jsonl
168.6,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor4,-1.56705719e-05,-0.0011420304,-0.00249106035,0.000864719178,1,long_live_01.jsonl
168.8,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor1,0.000117883899,-4.10279367e-05,-0.000179366096,7.32294303,1,long_live_01.jsonl
168.8,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor2,0.31474774,0.011258542,0.0561495676,1018.64463,1,long_live_01.jsonl
168.8,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor3,-0.343731852,0.0252349163,0.0841549961,792.793999,1,long_live_01.jsonl
168.8,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor4,-3.46736259e-05,-0.00149736286,-0.00177666229,0.000162848138,1,long_live_01.jsonl
169,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor1,9.68107577e-05,-0.000195577514,-0.000772747885,14.6448265,1,long_live_01.jsonl
169,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor2,0.344847151,0.182174107,0.854577825,980.339544,1,long_live_01.jsonl
169,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor3,-0.31424363,0.12819599,0.514805367,807.719359,1,long_live_01.jsonl
169,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor4,-4.17477512e-05,-0.00130151392,0.000979244698,-5.48405602e-05,1,long_live_01.jsonl
