run_id,scenario,cycle,phase,axis,sample_count,time_start,time_end,duration,torque_mean,torque_max,torque_std,torque_rms,omega_max,accel_rms,energy,torque_slope
long_live_01,S0,10,grip_contact,motor1,17,1669.75,1841.4,171.65,0.356155185,24.3559682,9.56667497,9.2878691,0.00381808358,0.00769839531,0.469554491,0.162200649
long_live_01,S0,10,grip_contact,motor2,17,1669.75,1841.4,171.65,2187.95669,3013.98688,472.278802,2235.41525,0.00146437257,0.00410191027,67.0735244,-6.29860635
long_live_01,S0,10,grip_contact,motor3,17,1669.75,1841.4,171.65,273.695984,471.08482,113.406686,294.981413,0.012000873,0.039804469,119.549804,-1.54587289
long_live_01,S0,10,grip_contact,motor4,17,1669.75,1841.4,171.65,1.1094874e-05,0.000233318623,8.26634397e-05,8.09591561e-05,0.000571975214,0.00166273787,2.16212743e-06,3.5036402e-07
long_live_01,S0,10,lift_before_pick,motor1,120,1665.5,1839.2,173.7,-6.37097451,1597.33852,523.45397,521.30728,1.46726462,0.913156776,31276.3727,-3.17558475
long_live_01,S0,10,lift_before_pick,motor2,120,1665.5,1839.2,173.7,1672.07106,4861.35746,1149.66779,2026.46076,0.795418541,0.656741981,50943.5991,0.606202176
long_live_01,S0,10,lift_before_pick,motor3,120,1665.5,1839.2,173.7,791.112532,1016.70412,100.81085,797.456692,0.820089667,0.648860651,20595.7005,0.21469829
long_live_01,S0,10,lift_before_pick,motor4,120,1665.5,1839.2,173.7,-0.000585159659,0.0383532085,0.0125967781,0.0125578225,0.00515994635,0.00927418835,0.00199322479,-0.000155355193
long_live_01,S0,10,lift_with_load,motor1,143,1670,1843.25,173.25,0.727554309,38.395246,9.77158974,9.76450619,0.0010494868,0.0020078025,0.297114609,0.218459024
long_live_01,S0,10,lift_with_load,motor2,143,1670,1843.25,173.25,1520.91461,3268.79217,745.389183,1692.60182,0.23651249,0.243524258,23418.3306,-15.0079971
long_live_01,S0,10,lift_with_load,motor3,143,1670,1843.25,173.25,659.871214,879.417979,131.190036,672.696432,0.973029202,1.0395532,39252.2055,0.895451925
long_live_01,S0,10,lift_with_load,motor4,143,1670,1843.25,173.25,-0.00015486083,0.00563270613,0.000727958483,0.000741754454,0.00199182663,0.00409893384,5.74224218e-05,9.45858776e-06
long_live_01,S0,10,move_to_pallet,motor1,165,1672.6,1845.05,172.45,-2.95412515,2017.68395,441.970891,440.639453,1.4953336,0.711848107,19207.6933,4.72758692
long_live_01,S0,10,move_to_pallet,motor2,165,1672.6,1845.05,172.45,1608.23008,3742.34593,906.023427,1844.53447,0.661534616,0.487662,31995.3206,-10.0465093
